"","Title","Unit","Area","Price","Type","Decoration","Floor","Orientation","Add"
"1","南厂住宅区 一般装修1室 ， 位置好，期待您的选购",27777,"45","125","1室1厅1卫","简单装修","高层（共6层）","南北向","南厂住宅中区-南口二手房出售-西民路"
"2","北七家 西湖新村 34错层 精装修",28404,"135","385","2室2厅2卫","精装修","中层（共7层）","南北向","西湖新村-北七家二手房出售-立汤路"
"3","超低首付仅需25万，对，您没看错，大产权的温馨一居室",27777,"45","125","1室1厅1卫","精装修","高层（共6层）","南北向","南厂住宅中区-南口二手房出售-西民路"
"4","燕平家园，2016年不容错过的楼盘，心动不如马上行动",40599,"62","252","2室1厅1卫","简单装修","高层（共6层）","南向","燕平家园-昌平县城二手房出售-东环路"
"5","昌平五街储备局宿舍，满五年，加固后85平米，随时看房有钥匙",37142,"70","260","2室1厅1卫","简单装修","高层（共6层）","南北向","储备局宿舍-昌平县城二手房出售-昌平区鼓楼南街"
"6","东关南里小区，满五年，三层动静结合悠然自得，真正的好房",40909,"88","360","2室1厅1卫","精装修","中层（共6层）","南北向","东关南里-昌平县城二手房出售-亢山路,近南环东路"
"7","北环里一层 有小院 两居室 南向 满五年 家庭一套房子",42095,"53","225","2室1厅1卫","简单装修","低层（共6层）","南向","北环里小区-昌平县城二手房出售-西环路"
"8","宏星地产三期景观房独栋别墅面积800平米 毛坯 有加建",40219,"547","2200","7室3厅6卫","毛坯","共3层","南北向","珠江壹千栋-北七家二手房出售-定泗路99号"
"9","出售白各庄精装一居室 纯南户型  随时看房",20689,"58","120","1室1厅1卫","精装修","中层（共18层）","南向","白各庄新村-沙河二手房出售-定泗路66号"
"10","宏星地产租售部金科帕提欧 联排别墅  私家电梯 1200万",36253,"331","1200","4室3厅4卫","精装修","共5层","南向","金科帕提欧(...-小汤山二手房出售-顺沙路"
"11","出售白各庄精装二居室  南北通透  随时看房",19375,"80","155","2室1厅1卫","精装修","中层（共13层）","南北向","白各庄新村-沙河二手房出售-定泗路66号"
"12","宏星地产 珠江三期 毛坯 建筑面积800 售价2200万",40219,"547","2200","7室3厅6卫","毛坯","共3层","南北向","珠江壹千栋-北七家二手房出售-定泗路99号"
"13","宏星地产租售部 独栋别墅 总占地1500平米 精装修双车库",43898,"387","1700","6室3厅4卫","精装修","共2层","南北向","长河玉墅-北七家二手房出售-立汤路"
"14","出售白各庄精装二居室  南北通透  随时看房",19375,"80","155","2室1厅1卫","精装修","中层（共13层）","南北向","白各庄新村-沙河二手房出售-定泗路66号"
"15","出售白各庄精装大三居  南北通透  随时看房",19523,"105","205","3室1厅1卫","精装修","高层（共19层）","南北向","白各庄新村-沙河二手房出售-定泗路66号"
"16","御汤山650平,豪 华 800万装修2500万现赔钱",40151,"660","2650","5室2厅6卫","豪华装修","共2层","南北向","金科王府(别...-小汤山二手房出售-顺沙路"
"17","别墅4室只要980万元，买的不是便宜，是非常便宜",48039,"204","980","4室2厅3卫","精装修","共2层","南北向","顺驰林溪-沙河镇二手房出售-顺沙路"
"18","不是你不想要，只是你没看到，林溪680平米大花园",32432,"370","1200","5室1厅2卫","毛坯","共2层","南北向","顺驰林溪-沙河镇二手房出售-顺沙路"
"19","羊各庄 三层精装大两居 南北通透 出行便利 看房方便",19130,"115","220","2室1厅1卫","精装修","中层（共6层）","南北向","羊各庄新村-北七家二手房出售-定泗路"
"20","160平联排，南北通透，客厅南向，两室南向，南花园80平，急",40312,"160","645","3室2厅3卫","豪华装修","共2层","南向","王府园中园-北七家二手房出售-北清路"
"21","北亚花园  商品房 南北通透 精装修 总价低  交通便利",32112,"88","285","2室2厅1卫","简单装修","中层（共6层）","南北向","北亚花园-北七家二手房出售-东北路"
"22","宏福苑小区南二区精装两居室 送家具家电 业主诚意出售",21505,"93","200","2室1厅1卫","精装修","中层（共22层）","南北向","羊各庄新村-北七家二手房出售-定泗路"
"23","好房源业主自住精装三居 南北通透 真实图片",39112,"124","485","3室2厅2卫","简单装修","低层（共15层）","南北向","北街家园八区-沙河二手房出售-高教园北三街"
"24","独栋 500平花园 集中供暖 一层带卧室 满五年 无",66820,"217","1450","4室2厅3卫","精装修","共2层","南向","王府园中园-北七家二手房出售-北清路"
"25","宏福苑小区两居室出售，底层户型好，南北通透，看房随时",18750,"96","180","2室1厅1卫","精装修","低层（共6层）","南北向","羊各庄新村-北七家二手房出售-定泗路"
"26","利成小区，精装修两居室120万",16883,"77","130","2室1厅1卫","精装修","中层（共18层）","南向","羊各庄新村-北七家二手房出售-定泗路"
"27","低总价南北通透联排别墅适合三代人居住",48127,"143","690","3室2厅2卫","精装修","共2层","南北向","王府园中园-北七家二手房出售-北清路"
"28","业主急售花园边户联排满五年唯一",33333,"210","700","4室2厅1卫","豪华装修","共3层","南北向","王府花园-北七家二手房出售-王府街10号"
"29","白 各 庄 小区 两居室毛坯房75平 南北通透  户型好 看",22000,"75","165","2室1厅1卫","毛坯","低层（共18层）","南北向","北京城建畅悦...-北七家二手房出售-平西府中路1号"
"30","宏福苑小区南北通透两居能改成三居主卧带阳台",21250,"80","170","2室1厅1卫","简单装修","高层（共7层）","南北向","羊各庄新村-北七家二手房出售-定泗路"
"31","宏福苑电梯板楼 三居两卫 可平移北京户口 精装出售",20714,"140","290","3室2厅2卫","精装修","中层（共6层）","南北向","羊各庄新村-北七家二手房出售-定泗路"
"32","白各庄正规朝南两居室业主诚心出售价155万 随时看房",20394,"76","155","2室1厅1卫","精装修","高层（共18层）","南向","羊各庄新村-北七家二手房出售-定泗路"
"33","白各庄新村电梯房，南北通透居82平米180万，随时看",21951,"82","180","2室1厅1卫","精装修","中层（共18层）","南北向","羊各庄新村-北七家二手房出售-定泗路"
"34","白各庄100南北通透三居室出售,精装修,看房方便",19500,"100","195","3室1厅1卫","精装修","低层（共18层）","南北向","羊各庄新村-北七家二手房出售-定泗路"
"35","白各庄纯南户型两居，精装修，舒适的居住环境，150万",19736,"76","150","2室1厅1卫","精装修","高层（共18层）","南向","羊各庄新村-北七家二手房出售-定泗路"
"36","喜欢简单，不会凌乱.喜欢低调，不会张扬.海德堡别墅5室",41842,"190","795","5室2厅3卫","精装修","共4层","南北向","海德堡花园-北七家二手房出售-七北路"
"37","海德堡别墅台地独栋210平米850万 70产权可贷款",40476,"210","850","4室2厅3卫","精装修","共3层","南北向","海德堡花园-北七家二手房出售-七北路"
"38","白 各 庄 小区 两居室毛坯房75平 南北通透  户型好 看",22000,"75","165","2室1厅1卫","毛坯","低层（共18层）","南北向","北京城建畅悦...-北七家二手房出售-平西府中路1号"
"39","店长推介西湖新村两居 南北通透 中 心位置临近物美 西湖美景",34693,"98","340","2室2厅1卫","精装修","中层（共6层）","南北向","西湖新村-北七家二手房出售-立汤路"
"40","金科帕提欧 精装修139平550万温泉入户，南北通透",39568,"139","550","3室2厅2卫","精装修","低层（共9层）","南北向","金科帕提欧-小汤山二手房出售-沙顺路91号"
